"filename", "language", "Go Checksum File", "Go", "HTML", "Go Module File", "Markdown", "MS SQL", "sqlite3-editor-database", "JSON", "Python", "CSS", "JavaScript", "comment", "blank", "total"
"y:\github\webstress-api\README.md", "Markdown", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 0, 53, 188
"y:\github\webstress-api\assets\branding\new\css\admin\chat.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 372, 0, 3, 61, 436
"y:\github\webstress-api\assets\branding\new\css\admin\dash.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 317, 0, 2, 57, 376
"y:\github\webstress-api\assets\branding\new\css\admin\forms.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 385, 0, 13, 51, 449
"y:\github\webstress-api\assets\branding\new\css\admin\settings1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 505, 0, 9, 77, 591
"y:\github\webstress-api\assets\branding\new\css\admin\tickets.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 4, 50, 318
"y:\github\webstress-api\assets\branding\new\css\animations.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 3, 15, 118
"y:\github\webstress-api\assets\branding\new\css\api1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 284, 0, 4, 47, 335
"y:\github\webstress-api\assets\branding\new\css\charts1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 241, 0, 2, 40, 283
"y:\github\webstress-api\assets\branding\new\css\chat.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 230, 0, 3, 36, 269
"y:\github\webstress-api\assets\branding\new\css\dash1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 690, 0, 7, 119, 816
"y:\github\webstress-api\assets\branding\new\css\forms1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 278, 0, 8, 42, 328
"y:\github\webstress-api\assets\branding\new\css\loader.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 6, 13, 141
"y:\github\webstress-api\assets\branding\new\css\login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 350, 0, 0, 40, 390
"y:\github\webstress-api\assets\branding\new\css\shop.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 1, 24, 197
"y:\github\webstress-api\assets\branding\new\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 566, 0, 9, 98, 673
"y:\github\webstress-api\assets\branding\new\css\ticket.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 256, 0, 3, 44, 303
"y:\github\webstress-api\assets\branding\new\css\transaction.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 218, 0, 1, 38, 257
"y:\github\webstress-api\assets\branding\new\imports\charts2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 22, 32, 253
"y:\github\webstress-api\assets\branding\new\imports\loader3.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 1, 8, 81
"y:\github\webstress-api\assets\branding\new\imports\toastr1.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 0, 18, 201
"y:\github\webstress-api\assets\branding\new\js\admin\chats.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 155, 3, 25, 183
"y:\github\webstress-api\assets\branding\new\js\admin\dash2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 36, 23, 281
"y:\github\webstress-api\assets\branding\new\js\admin\edituser.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 24, 32, 254
