Date : 2025-04-19 07:48:48
Directory : y:\github\webstress-api
Total : 247 files,  26871 codes, 859 comments, 3159 blanks, all 30889 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| Go                      |        172 |      8,973 |        480 |      1,268 |     10,721 |
| sqlite3-editor-database |          2 |      5,494 |          0 |        297 |      5,791 |
| CSS                     |         17 |      5,350 |         78 |        852 |      6,280 |
| HTML                    |         25 |      4,326 |        122 |        347 |      4,795 |
| JavaScript              |         15 |      2,044 |        179 |        315 |      2,538 |
| JSON                    |          8 |        332 |          0 |          5 |        337 |
| Markdown                |          1 |        135 |          0 |         53 |        188 |
| MS SQL                  |          1 |        108 |          0 |          9 |        117 |
| Go Checksum File        |          2 |         67 |          0 |          2 |         69 |
| Go Module File          |          3 |         42 |          0 |         10 |         52 |
| Python                  |          1 |          0 |          0 |          1 |          1 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                       |        247 |     26,871 |        859 |      3,159 |     30,889 |
| . (Files)                                                               |          4 |        286 |          1 |         64 |        351 |
| assets                                                                  |         92 |     18,473 |        482 |      1,982 |     20,937 |
| assets (Files)                                                          |          3 |      2,876 |          0 |        158 |      3,034 |
| assets\branding                                                         |         32 |      7,394 |        257 |      1,167 |      8,818 |
| assets\branding\new                                                     |         32 |      7,394 |        257 |      1,167 |      8,818 |
| assets\branding\new\css                                                 |         17 |      5,350 |         78 |        852 |      6,280 |
| assets\branding\new\css (Files)                                         |         12 |      3,507 |         47 |        556 |      4,110 |
| assets\branding\new\css\admin                                           |          5 |      1,843 |         31 |        296 |      2,170 |
| assets\branding\new\imports                                             |          3 |        454 |         23 |         58 |        535 |
| assets\branding\new\js                                                  |         12 |      1,590 |        156 |        257 |      2,003 |
| assets\branding\new\js (Files)                                          |          3 |        331 |         33 |         55 |        419 |
| assets\branding\new\js\admin                                            |          3 |        575 |         63 |         80 |        718 |
| assets\branding\new\js\user                                             |          6 |        684 |         60 |        122 |        866 |
| assets\branding\new\js\user (Files)                                     |          3 |        340 |         36 |         57 |        433 |
| assets\branding\new\js\user\shop                                        |          3 |        344 |         24 |         65 |        433 |
| assets\client                                                           |          8 |        358 |         15 |         51 |        424 |
| assets\config                                                           |          6 |        301 |          0 |          4 |        305 |
| assets\html                                                             |         23 |      4,291 |        118 |        345 |      4,754 |
| assets\html (Files)                                                     |          3 |        215 |          3 |          8 |        226 |
| assets\html\admin                                                       |          7 |      1,727 |         64 |        132 |      1,923 |
| assets\html\api                                                         |          1 |        265 |          4 |          9 |        278 |
| assets\html\attack                                                      |          1 |         90 |          3 |          6 |         99 |
| assets\html\dstat                                                       |          1 |        115 |          0 |         16 |        131 |
| assets\html\landing                                                     |          1 |        168 |          9 |         19 |        196 |
| assets\html\login                                                       |          1 |         92 |          0 |          5 |         97 |
| assets\html\user                                                        |          8 |      1,619 |         35 |        150 |      1,804 |
| assets\tgbot                                                            |         20 |      3,253 |         92 |        257 |      3,602 |
| assets\tgbot (Files)                                                    |          5 |      2,805 |          0 |        157 |      2,962 |
| assets\tgbot\core                                                       |          7 |        174 |         82 |         39 |        295 |
| assets\tgbot\core (Files)                                               |          2 |         64 |         25 |         12 |        101 |
| assets\tgbot\core\api                                                   |          2 |         26 |         54 |          7 |         87 |
| assets\tgbot\core\commands                                              |          3 |         84 |          3 |         20 |        107 |
| assets\tgbot\database                                                   |          3 |        139 |          4 |         27 |        170 |
| assets\tgbot\models                                                     |          5 |        135 |          6 |         34 |        175 |
| assets\tgbot\models (Files)                                             |          1 |         45 |          2 |          9 |         56 |
| assets\tgbot\models\bot                                                 |          2 |         47 |          3 |         14 |         64 |
| assets\tgbot\models\server                                              |          1 |         13 |          0 |          3 |         16 |
| assets\tgbot\models\sessions                                            |          1 |         30 |          1 |          8 |         39 |
| core                                                                    |        145 |      7,926 |        241 |      1,050 |      9,217 |
| core (Files)                                                            |          2 |         79 |          4 |          8 |         91 |
| core\database                                                           |         12 |      1,283 |         32 |        205 |      1,520 |
| core\master                                                             |         77 |      3,831 |        110 |        401 |      4,342 |
| core\master (Files)                                                     |          2 |         41 |          1 |          8 |         50 |
| core\master\admin                                                       |          9 |        317 |          0 |         27 |        344 |
| core\master\api                                                         |         43 |      2,571 |         94 |        250 |      2,915 |
| core\master\api (Files)                                                 |          2 |        101 |          0 |         10 |        111 |
| core\master\api\account                                                 |          1 |          7 |          0 |          3 |         10 |
| core\master\api\admin                                                   |         10 |        566 |         30 |         62 |        658 |
| core\master\api\attacks                                                 |          5 |        439 |         31 |         47 |        517 |
| core\master\api\dashboard                                               |          6 |        353 |          2 |         24 |        379 |
| core\master\api\manager                                                 |          3 |         64 |          1 |         15 |         80 |
| core\master\api\panel                                                   |          3 |        143 |          0 |         10 |        153 |
| core\master\api\payments                                                |          7 |        634 |          9 |         41 |        684 |
| core\master\api\tickets                                                 |          6 |        264 |         21 |         38 |        323 |
| core\master\authentication                                              |          4 |         83 |          0 |         18 |        101 |
| core\master\dashboard                                                   |         12 |        435 |          2 |         40 |        477 |
| core\master\internal                                                    |          2 |        228 |          7 |         30 |        265 |
| core\master\landing                                                     |          2 |         34 |          0 |          6 |         40 |
| core\master\sessions                                                    |          3 |        122 |          6 |         22 |        150 |
| core\models                                                             |         37 |      1,677 |         49 |        284 |      2,010 |
| core\models (Files)                                                     |          1 |         54 |          0 |          3 |         57 |
